NaN,NaN,Inf,NaN
1.5708,2.2214,2.3562,3.3136
1.3408,1.7518,1.7335,2.6395
1.2388,1.5173,1.5006,2.3376
1.1835,1.3916,1.3798,2.1767
1.1488,1.3144,1.3059,2.0775
1.1252,1.2624,1.2561,2.0104
1.108,1.2251,1.2202,1.9621
1.095,1.197,1.1931,1.9257
1.0847,1.1751,1.172,1.8972
1.0765,1.1576,1.155,1.8744
1.0697,1.1433,1.1411,1.8557
1.064,1.1313,1.1295,1.8401
1.0592,1.1212,1.1196,1.8268
1.0551,1.1125,1.1112,1.8154
1.0514,1.105,1.1038,1.8056
1.0483,1.0985,1.0974,1.797
1.0455,1.0927,1.0917,1.7893
1.043,1.0875,1.0866,1.7825
1.0408,1.0829,1.0821,1.7765
1.0388,1.0787,1.078,1.771
1.0369,1.075,1.0743,1.7661
1.0353,1.0716,1.071,1.7616
1.0338,1.0685,1.0679,1.7574
1.0324,1.0656,1.0651,1.7537
1.0311,1.063,1.0625,1.7502
1.0299,1.0605,1.0601,1.747
1.0288,1.0583,1.0579,1.744
1.0278,1.0562,1.0558,1.7413
1.0268,1.0543,1.0539,1.7387
1.026,1.0525,1.0521,1.7363
1.0251,1.0508,1.0505,1.7341
1.0243,1.0492,1.0489,1.732
1.0236,1.0477,1.0474,1.73
1.0229,1.0463,1.046,1.7281
1.0223,1.045,1.0447,1.7264
1.0217,1.0437,1.0435,1.7247
1.0211,1.0425,1.0423,1.7232
1.0205,1.0414,1.0412,1.7217
1.02,1.0403,1.0401,1.7203
1.0195,1.0393,1.0391,1.7189
1.019,1.0384,1.0382,1.7177
1.0186,1.0375,1.0373,1.7165
1.0182,1.0366,1.0364,1.7153
1.0177,1.0357,1.0356,1.7142
1.0174,1.035,1.0348,1.7131
1.017,1.0342,1.0341,1.7121
1.0166,1.0335,1.0333,1.7112
1.0163,1.0328,1.0326,1.7102
1.0159,1.0321,1.032,1.7093
1.0156,1.0315,1.0313,1.7085
1.0153,1.0308,1.0307,1.7077
1.015,1.0302,1.0301,1.7069
1.0147,1.0297,1.0296,1.7061
1.0145,1.0291,1.029,1.7054
1.0142,1.0286,1.0285,1.7047
1.014,1.0281,1.028,1.704
1.0137,1.0276,1.0275,1.7034
1.0135,1.0271,1.027,1.7027
1.0133,1.0267,1.0266,1.7021
1.013,1.0262,1.0261,1.7015
1.0128,1.0258,1.0257,1.701
1.0126,1.0254,1.0253,1.7004
1.0124,1.025,1.0249,1.6999
1.0122,1.0246,1.0245,1.6994
1.012,1.0242,1.0241,1.6989
1.0119,1.0238,1.0238,1.6984
1.0117,1.0235,1.0234,1.6979
1.0115,1.0231,1.0231,1.6974
1.0113,1.0228,1.0227,1.697
1.0112,1.0225,1.0224,1.6966
1.011,1.0221,1.0221,1.6961
1.0109,1.0218,1.0218,1.6957
1.0107,1.0215,1.0215,1.6953
1.0106,1.0212,1.0212,1.6949
1.0104,1.021,1.0209,1.6946
1.0103,1.0207,1.0206,1.6942
1.0102,1.0204,1.0204,1.6938
1.01,1.0202,1.0201,1.6935
1.0099,1.0199,1.0199,1.6932
1.0098,1.0197,1.0196,1.6928
1.0097,1.0194,1.0194,1.6925
1.0095,1.0192,1.0191,1.6922
1.0094,1.0189,1.0189,1.6919
1.0093,1.0187,1.0187,1.6916
1.0092,1.0185,1.0185,1.6913
1.0091,1.0183,1.0182,1.691
1.009,1.0181,1.018,1.6907
1.0089,1.0179,1.0178,1.6904
1.0088,1.0177,1.0176,1.6902
1.0087,1.0175,1.0174,1.6899
1.0086,1.0173,1.0172,1.6897
1.0085,1.0171,1.017,1.6894
1.0084,1.0169,1.0169,1.6892
1.0083,1.0167,1.0167,1.6889
1.0082,1.0165,1.0165,1.6887
1.0082,1.0164,1.0163,1.6885
1.0081,1.0162,1.0162,1.6882
1.008,1.016,1.016,1.688
1.0079,1.0159,1.0158,1.6878
1.0078,1.0157,1.0157,1.6876
1.0078,1.0156,1.0155,1.6874
1.0077,1.0154,1.0154,1.6872
1.0076,1.0153,1.0152,1.687
1.0075,1.0151,1.0151,1.6868
1.0075,1.015,1.0149,1.6866
1.0074,1.0148,1.0148,1.6864
1.0073,1.0147,1.0147,1.6862
1.0073,1.0146,1.0145,1.686
1.0072,1.0144,1.0144,1.6859
1.0071,1.0143,1.0143,1.6857
1.0071,1.0142,1.0141,1.6855
1.007,1.014,1.014,1.6854
1.0069,1.0139,1.0139,1.6852
1.0069,1.0138,1.0138,1.685
1.0068,1.0137,1.0136,1.6849
1.0068,1.0135,1.0135,1.6847
1.0067,1.0134,1.0134,1.6846
1.0066,1.0133,1.0133,1.6844
1.0066,1.0132,1.0132,1.6843
1.0065,1.0131,1.0131,1.6841
1.0065,1.013,1.013,1.684
1.0064,1.0129,1.0129,1.6838
1.0064,1.0128,1.0128,1.6837
1.0063,1.0127,1.0127,1.6835
1.0063,1.0126,1.0126,1.6834
1.0062,1.0125,1.0125,1.6833
1.0062,1.0124,1.0124,1.6831
1.0061,1.0123,1.0123,1.683
1.0061,1.0122,1.0122,1.6829
1.006,1.0121,1.0121,1.6828
1.006,1.012,1.012,1.6826
1.0059,1.0119,1.0119,1.6825
1.0059,1.0118,1.0118,1.6824
1.0058,1.0117,1.0117,1.6823
1.0058,1.0116,1.0116,1.6822
1.0058,1.0116,1.0115,1.6821
1.0057,1.0115,1.0115,1.6819
1.0057,1.0114,1.0114,1.6818
1.0056,1.0113,1.0113,1.6817
1.0056,1.0112,1.0112,1.6816
1.0056,1.0111,1.0111,1.6815
1.0055,1.0111,1.0111,1.6814
1.0055,1.011,1.011,1.6813
1.0054,1.0109,1.0109,1.6812
1.0054,1.0108,1.0108,1.6811
1.0054,1.0108,1.0107,1.681
1.0053,1.0107,1.0107,1.6809
1.0053,1.0106,1.0106,1.6808
1.0053,1.0105,1.0105,1.6807
1.0052,1.0105,1.0105,1.6806
1.0052,1.0104,1.0104,1.6805
1.0052,1.0103,1.0103,1.6804
1.0051,1.0103,1.0103,1.6803
1.0051,1.0102,1.0102,1.6803
1.0051,1.0101,1.0101,1.6802
1.005,1.0101,1.0101,1.6801
1.005,1.01,1.01,1.68
1.005,1.0099,1.0099,1.6799
1.0049,1.0099,1.0099,1.6798
1.0049,1.0098,1.0098,1.6798
1.0049,1.0098,1.0097,1.6797
1.0048,1.0097,1.0097,1.6796
1.0048,1.0096,1.0096,1.6795
1.0048,1.0096,1.0096,1.6794
1.0048,1.0095,1.0095,1.6794
1.0047,1.0095,1.0095,1.6793
1.0047,1.0094,1.0094,1.6792
1.0047,1.0094,1.0093,1.6791
1.0046,1.0093,1.0093,1.6791
1.0046,1.0092,1.0092,1.679
1.0046,1.0092,1.0092,1.6789
1.0046,1.0091,1.0091,1.6788
1.0045,1.0091,1.0091,1.6788
1.0045,1.009,1.009,1.6787
1.0045,1.009,1.009,1.6786
1.0045,1.0089,1.0089,1.6786
1.0044,1.0089,1.0089,1.6785
1.0044,1.0088,1.0088,1.6784
1.0044,1.0088,1.0088,1.6784
